"site","survey_year","transect_plot","quadrat","germ_survey_date","pick_color","number_germ","missing_germs","germ_notes","mort_survey_date","num_dead","mort_notes","days_since_germ","cum_dead","count_check"
"WL1",2022,3,1.5,2022-02-18,"green",67,0,NA,2022-04-01,1,NA,42,1,TRUE
"WL1",2022,3,1.5,2022-02-18,"green",67,0,NA,2022-04-27,1,"missing 1 green, red from 2.0",68,2,TRUE
"WL1",2022,3,1.5,2022-02-18,"green",67,0,NA,2022-05-18,1,"0",89,3,TRUE
"WL1",2022,3,1.5,2022-02-18,"green",67,0,NA,2022-07-01,1,NA,133,4,TRUE
"WL1",2022,3,2,2022-02-18,"green",69,0,"note",2022-04-01,3,NA,42,3,TRUE
"WL1",2022,3,2,2022-02-18,"green",69,0,"note",2022-04-27,0,"extra green",68,3,TRUE
"WL1",2022,3,2,2022-02-18,"green",69,0,"note",2022-05-18,1,"1 orange not strep",89,4,TRUE
"WL1",2022,3,2,2022-02-18,"green",69,0,"note",2022-07-01,0,"many under branch",133,4,TRUE
"WL1",2022,3,2.5,2022-02-18,"green",34,0,NA,2022-04-01,0,NA,42,0,TRUE
"WL1",2022,3,2.5,2022-02-18,"green",34,0,NA,2022-04-27,0,NA,68,0,TRUE
"WL1",2022,3,2.5,2022-02-18,"green",34,0,NA,2022-05-18,0,"0",89,0,TRUE
"WL1",2022,3,2.5,2022-02-18,"green",34,0,NA,2022-07-01,1,"added orange",133,1,TRUE
"WL1",2022,3,3,2022-02-18,"green",35,0,NA,2022-04-01,0,NA,42,0,TRUE
"WL1",2022,3,3,2022-02-18,"green",35,0,NA,2022-04-27,0,NA,68,0,TRUE
"WL1",2022,3,3,2022-02-18,"green",35,0,NA,2022-05-18,0,"0",89,0,TRUE
"WL1",2022,3,3,2022-02-18,"green",35,0,NA,2022-07-01,2,NA,133,2,TRUE
"WL1",2022,3,3.5,2022-02-18,"green",8,0,NA,2022-04-01,0,NA,42,0,TRUE
"WL1",2022,3,3.5,2022-02-18,"green",8,0,NA,2022-04-27,0,NA,68,0,TRUE
