"Date_entered","Entered_by","Census_year","Census_date","Collected_by","Site","Transect_plot","Quad","Tag","2018tag","2019tag","Pick_color","Sword_color","Band","Band_color","Band_num","Xcoord","Ycoord","Stem_diam_mm","Height_cm","Canopy_width_cm","Phenology","Num_flowers","Num_fruits","Longest_fruit_cm","Num_repro_branches","Num_total_branches","Longest_leaf_cm","Herbivory","Category_herbivory","Buds","Year_marked","Notes","Stem_diam_mm_UFA","plant_id","original_census_year"
NA,NA,2020,2020-05-31,"JG, JS","TM2","lower","14.5",NA,NA,NA,"orange",NA,NA,"blue",0,49,17,"1.27",18,NA,"P",0,1,27,1,1,NA,"Y",NA,NA,NA,NA,1.27,"TM2_lower_14.5_blue_0",2020
NA,NA,2020,2020-05-31,"JG, JS","TM2","lower","14.5",NA,NA,NA,"orange",NA,NA,"blue",89,19,14,"1.4",26.5,NA,"P",1,2,60,1,1,NA,"4.0",NA,NA,NA,NA,1.4,"TM2_lower_14.5_blue_89",2020
NA,NA,2020,2020-05-31,"JG, JS","TM2","lower","15.0",NA,NA,NA,NA,NA,NA,"yellow",164,19,14,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TM2_lower_15.0_yellow_164",2020
NA,NA,2020,2020-05-31,"JG, JS","TM2","lower","15.0",NA,NA,NA,NA,NA,NA,"yellow",165,9,12,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TM2_lower_15.0_yellow_165",2020
NA,NA,2020,2020-05-31,"JG, JS","TM2","lower","15.0",NA,NA,NA,NA,NA,NA,"yellow",89,12,21,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TM2_lower_15.0_yellow_89",2020
NA,NA,2020,2020-05-31,"JG, JS","TM2","lower","15.0",NA,NA,NA,"orange",NA,NA,"blue",50,25,0,"1.23",21.5,NA,"P",0,1,49,1,1,NA,"Y",NA,NA,NA,NA,1.23,"TM2_lower_15.0_blue_50",2020
NA,NA,2020,2020-05-31,"JG, JS","TM2","lower","15.0",NA,NA,NA,"orange",NA,NA,"blue",62,22,19,"1.08",9,NA,"B",0,0,NA,1,1,NA,"N",NA,NA,NA,NA,1.08,"TM2_lower_15.0_blue_62",2020
NA,NA,2020,2020-05-31,"JG, JS","TM2","lower","15.0",NA,NA,NA,"orange",NA,NA,"blue",67,4,15,"1.04",12.5,NA,"P",0,2,38,1,1,NA,"Y",NA,NA,NA,NA,1.04,"TM2_lower_15.0_blue_67",2020
NA,NA,2020,2020-05-31,"JG, JS","TM2","lower","15.0",NA,NA,NA,"yellow",NA,NA,"blue",94,1,4,"1.97",24,NA,"P",0,3,85,1,1,NA,"Y",NA,NA,NA,NA,1.97,"TM2_lower_15.0_blue_94",2020
NA,NA,2020,2020-05-31,"Eva, MB, LL","TM2","lower","15.0",NA,NA,NA,"yellow",NA,NA,"blue",98,44,20,"1.65",20.5,NA,"P",0,1,51,1,1,NA,"Y",NA,NA,NA,NA,1.65,"TM2_lower_15.0_blue_98",2020
