"Date_entered","Entered_by","Census_year","Census_date","Collected_by","Site","Transect_plot","Quad","Tag","2018tag","2019tag","Pick_color","Sword_color","Band","Band_color","Band_num","Xcoord","Ycoord","Stem_diam_mm","Height_cm","Canopy_width_cm","Phenology","Num_flowers","Num_fruits","Longest_fruit_cm","Num_repro_branches","Num_total_branches","Longest_leaf_cm","Herbivory","Category_herbivory","Leaf_thickness_mm","Buds","Year_marked","Num_leaves","Notes","Stem_diam_mm_UFA"
NA,NA,2016,NA,NA,"TM2","lower","16","n",NA,NA,NA,NA,NA,NA,NA,8,4,"1.9","26.0",6.5,"P","0.0","1.0",3,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,1.9
NA,NA,2016,NA,NA,"TM2","lower","16","n",NA,NA,NA,NA,NA,NA,NA,38,14,"1.16","7.5",0.6,"B",NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,"buds are dead",1.16
NA,NA,2016,NA,NA,"TM2","lower","16","n",NA,NA,NA,NA,NA,NA,NA,44,15,"1.25","17.0",7,"P","0.0","4.0",5.5,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,1.25
NA,NA,2016,NA,NA,"TM2","lower","16","n",NA,NA,NA,NA,NA,NA,NA,50,11,"1.93","30.0",11,"P","0.0","9.0",7,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,1.93
NA,NA,2016,NA,NA,"TM2","lower","16","n",NA,NA,NA,NA,NA,NA,NA,20,19.5,"1.24","15.0",4,"P","0.0","1.0",5,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,1.24
NA,NA,2016,NA,NA,"TM2","lower","16.5","n",NA,NA,NA,NA,NA,NA,NA,1,12,"2.3","29.0",9,"P","0.0","9.0",7,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,2.3
NA,NA,2016,NA,NA,"TM2","lower","16.5","n",NA,NA,NA,NA,NA,NA,NA,20,12,"0.8","20.0",3,"P","0.0","1.0",3.5,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,0.5
NA,NA,2016,NA,NA,"TM2","lower","16.5","n",NA,NA,NA,NA,NA,NA,NA,25,21,"1.75","22.0",5,"P","0.0","2.0",4.5,NA,NA,NA,"N",NA,NA,NA,NA,NA,"broken stem",1.75
NA,NA,2016,NA,NA,"TM2","lower","16.5","n",NA,NA,NA,NA,NA,NA,NA,28,16.5,"1.17","13.0",4,"P","0.0","2.0",5,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,1.17
NA,NA,2016,NA,NA,"TM2","lower","16.5","n",NA,NA,NA,NA,NA,NA,NA,37,12,"1.87","24.0",7,"P","0.0","3.0",4.5,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,1.87
NA,NA,2016,NA,NA,"TM2","lower","16.5","n",NA,NA,NA,NA,NA,NA,NA,42,12,"1.13","11.0",1.2,"P","0.0","0.0",0,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,1.13
