"Census_date","Site","Transect_plot","Quad","Phenology","Xcoord","Ycoord","Band_num","Pick_color","Sword_color","Stem_diam_mm","Height_cm","Num_total_branches","Longest_leaf_cm","Num_flowers","Num_fruits","Longest_fruit_cm","Num_repro_branches","Herbivory","Notes","Collected_by","Census_year","Date_entered","Entered_by","Band_color","Band","Tag","2018tag","2019tag","Year_marked","Category_herbivory","Leaf_thickness_mm","Canopy_width_cm","Buds","Num_leaves","Stem_diam_mm_UFA"
2019-07-29,"YOSE1","Y1-1","0","V",NA,NA,NA,NA,NA,"<1","0.9",1,"0.4",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2019-07-29,"YOSE1","Y1-1","0","V",NA,NA,NA,NA,NA,"<1","1.5",1,"0.5",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2019-07-29,"YOSE1","Y1-1","0.5","F",7,6,100,NA,NA,"1.53","18.3",5,NA,"1.0","0.0",NA,5,"Y",NA,"Maya & Eva",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.53
2019-07-29,"YOSE1","Y1-1","0.5","P",20,8,79,NA,NA,"1.28","14.9",3,NA,"3.0","1.0",3.1,2,"N",NA,"Maya & Eva",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.28
2019-07-29,"YOSE1","Y1-1","0.5","P",71,19,6,NA,NA,"1.36","10.9",3,NA,"3.0","1.0",2.5,1,"N",NA,"Maya & Eva",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.36
2019-07-29,"YOSE1","Y1-1","0.5","P",82,16,22,NA,NA,"2.41","15.1",9,NA,"22.0","12.0",3.6,9,"N",NA,"Maya & Eva",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.41
2019-07-29,"YOSE1","Y1-1","0.5","P",22,23,54,NA,NA,"1.99","19.5",3,NA,"7.0","3.0",4.6,3,"N",NA,"Maya & Eva",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.99
2019-07-29,"YOSE1","Y1-1","0.5","P",NA,NA,NA,NA,NA,"~1","13.3",3,NA,"5.0","1.0",3.2,3,"N",NA,"Maya & Eva",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2019-07-29,"YOSE1","Y1-1","0.5","P",41,34,56,NA,NA,"1.76","19.5",5,NA,"9.0","2.0",3.7,4,"N",NA,"Maya & Eva",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.76
2019-07-29,"YOSE1","Y1-1","0.5","P",35,35,99,NA,NA,"1.92","17.5",3,NA,"4.0","4.0",4.7,3,"N",NA,"Maya & Eva",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.92
2019-07-29,"YOSE1","Y1-1","0.5","V",NA,NA,NA,NA,NA,"<1","1.5",1,"0.4",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2019-07-29,"YOSE1","Y1-1","0.5","V",NA,NA,NA,NA,NA,"<1","2.1",1,"0.4",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2019-07-29,"YOSE1","Y1-1","0.5","V",NA,NA,NA,NA,NA,"<1","2.5",1,"0.5",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2019-07-29,"YOSE1","Y1-1","0.5","V",NA,NA,NA,NA,NA,"<1","2.0",1,"0.5",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2019-07-29,"YOSE1","Y1-1","0.5","V",NA,NA,NA,NA,NA,"<1","3.5",1,"1.2",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2019-07-29,"YOSE1","Y1-1","0.5","V",NA,NA,NA,NA,NA,"<1","1.5",1,"0.5",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2019-07-29,"YOSE1","Y1-1","0.5","V",NA,NA,NA,NA,NA,"<1","1.6",1,"1.0",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2019-07-29,"YOSE1","Y1-1","0.5","V",NA,NA,NA,NA,NA,"<1","1.2",1,"0.4",NA,NA,NA,NA,"N","copied x6","Maya & Eva",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2019-07-29,"YOSE1","Y1-1","0.5","V",NA,NA,NA,NA,NA,"<1","1.2",1,"0.4",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2019-07-29,"YOSE1","Y1-1","0.5","V",NA,NA,NA,NA,NA,"<1","1.2",1,"0.4",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2019-07-29,"YOSE1","Y1-1","0.5","V",NA,NA,NA,NA,NA,"<1","1.2",1,"0.4",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2019-07-29,"YOSE1","Y1-1","0.5","V",NA,NA,NA,NA,NA,"<1","1.2",1,"0.4",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2019-07-29,"YOSE1","Y1-1","0.5","V",NA,NA,NA,NA,NA,"<1","1.2",1,"0.4",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2019-07-29,"YOSE1","Y1-1","0.5","V",22,32,77,NA,NA,"1.57","5.6",4,"0.9",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.57
2019-07-29,"YOSE1","Y1-1","0.5","V",NA,NA,NA,NA,NA,"<1","4.2",2,"1.6",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2019-07-29,"YOSE1","Y1-1","0.5","V",29,3,86,NA,NA,"1.34","3.2",3,"1.3",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.34
2019-07-29,"YOSE1","Y1-1","0.5","V",NA,NA,NA,NA,NA,"<1","3.0",1,"1.1",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2019-07-29,"YOSE1","Y1-1","0.5","V",NA,NA,NA,NA,NA,"<1","2.0",1,"0.5",NA,NA,NA,NA,"N","copied x3","Maya & Eva",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2019-07-29,"YOSE1","Y1-1","0.5","V",NA,NA,NA,NA,NA,"<1","2.0",1,"0.5",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2019-07-29,"YOSE1","Y1-1","0.5","V",NA,NA,NA,NA,NA,"<1","2.0",1,"0.5",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2019-07-29,"YOSE1","Y1-1","0.5","V",NA,NA,NA,NA,NA,"<1","0.5",1,"0.3",NA,NA,NA,NA,"N","copied x7","Maya & Eva",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2019-07-29,"YOSE1","Y1-1","0.5","V",NA,NA,NA,NA,NA,"<1","0.5",1,"0.3",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2019-07-29,"YOSE1","Y1-1","0.5","V",NA,NA,NA,NA,NA,"<1","0.5",1,"0.3",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2019-07-29,"YOSE1","Y1-1","0.5","V",NA,NA,NA,NA,NA,"<1","0.5",1,"0.3",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2019-07-29,"YOSE1","Y1-1","0.5","V",NA,NA,NA,NA,NA,"<1","0.5",1,"0.3",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
